Date,Commit ID,Classification,L,P,S,E,M,Description,Notes
2006-06-08,face4374e288,Semantic change,,Y,Y,,Y,kconfig: add defconfig_list/module option,introduces new Kconfig behavior by allowing the symbol representing module support (option modules)
2006-12-13,bfc10001b11e,Refactoring,,Y,Y,,,[PATCH] kconfig: make sym_change_count static,
2007-04-30,1e093ecd4a85,Other,,,,,Y,kconfig: correct minor typo in Kconfig warning message.,only typo fix
2007-05-05,11de39e2fbbc,Bug Fix,Y,,,,,kconfig: fix mconf segmentation fault,
2007-05-06,5447d34b080a,Error Handling,,Y,Y,,,kconfig: error out if recursive dependencies are found,
2007-07-21,03d29122738f,Refactoring & Semantic change,,Y,,,Y,kconfig: attach help text to menus,"Doesn’t change core syntax, but improves how help info is structured "
2007-09-26,247537b9a270,Syntactic change,,Y,,,,"kconfig: syntax cleanup - drop support for ""depends/requires/def_boolean""","removes support for the redundant Kconfig keywords requires, depends (without on), and def_boolean/def_bool. It simplifies the language syntax. Breaks backward compatibility. v2.6.23-2289-g247537b9a270"
2007-10-02,a5bf3d891a6a,Semantic change,,,,,Y,kconfig: tristate choices with mixed tristate and boolean values,Improves the semantics of choice blocks by supporting mixed bool and tristate entries.
2007-10-19,e8b8c9777341,Bug Fix,,,,,Y,"Revert ""kconfig: tristate choices with mixed tristate and boolean values""",The previously added logic for mixed bool and tristate choices (a5bf3d891a6a) caused real regressions: it broke valid configuration
2008-01-07,d6ee35764f27,Refactoring,,,Y,Y,,kconfig: rename E_OR & friends to avoid name clash,
2008-01-11,01771b0fef0f,Refactoring,,,,,Y,kconfig: macro fix in menu.c,"it simplifies how prompts are handled internally, clear internal cleanup"
2008-01-11,f7a4b4cdc268,Other,Y,,,,,kconfig: whitespace removing,
2008-01-14,7a9629233597,Refactoring,,,Y,Y,Y,kconfig: explicitly introduce expression list,
2008-01-14,80daa56008da,Syntactic change,,,Y,,,kconfig: use environment option,v2.6.24-2237-g80daa56008da
2008-01-14,93449082e905,Refactoring,,,Y,,Y,kconfig: environment symbol support,In V2.6.24 ARCH and KERNELVERSION are hard coded in Kconfig files. It can bring compatibility problems
2008-01-24,f5eaa323eb68,Semantic change,,,,Y,Y,kconfig: tristate choices with mixed tristate and boolean values,an issue where tristate choices containing both bool and tristate members did not behave intuitively. Affects the behavior of tristate choices containing boolean members.
2008-02-02,603d49885e02,Semantic change & Bug Fix,,,,,Y,kconfig: ignore select of unknown symbol,"Now, select on an undefined symbol is silently ignored before it was giving errors. Its still a semantic change"
2008-02-11,587c90616a5b,Semantic change,,,Y,,,kconfig: fix select in combination with default,the commit changes sym_calc_value() function because of an error which is reported. Its a semantic chage to value calculation
2008-02-29,48981178869b,Semantic change,,,Y,,,kconfig: fix choice dependency check,This commit refactors and improves the recursive dependency checking logic (sym_check_deps). It is backward compatible
2008-02-29,5a1aa8a1aff6,Semantic change,,Y,Y,,Y,kconfig: add named choice group,slightly changes the choice type logic. Compatible with existing Kconfig files not using the new named choice feature
2008-07-17,be2be1d59035,Other,Y,,,,,kconfig: scripts/kconfig/zconf.l: add %option noinput,internal build change
2008-12-27,7826005e5a53,Other,Y,,,,,kconfig: improve error messages for bad source statements,
2009-07-12,4779105e03cd,Refactoring,,,,,Y,kconfig: make use of menu_get_ext_help in gconfig,
2009-07-12,544e433a9e2a,Other,,,,Y,,kconfig: add symbol value to help find the real depend,
2009-07-12,6bd5999d1a61,Refactoring,,,,,Y,kconfig: add menu_get_ext_help function to display more information,
2009-09-18,4356f4890792,Refactoring,,,Y,Y,Y,kbuild: add static to prototypes,
2009-10-15,1456edbb1476,Other,,Y,,,,kconfig: Make zconf.y work with current bison,"Build Fix, Toolchain Compatibility, v2.6.32"
2009-10-15,65166571800a,Refactoring,Y,Y,,,,kconfig: Mark various internal functions static,
2009-11-25,692d97c380c6,Other,,Y,,,Y,kconfig: new configuration interface (nconfig),"New feature addition, new front-end"
2009-12-20,da60fbbcb637,Other,,,,Y,,menuconfig: wrap long help lines,
2010-01-13,e66f25d7d1be,Refactoring,,Y,Y,,,Improve kconfig symbol hashing,
2010-03-19,da6df879b9f8,Bug Fix,,,Y,,,kconfig: recalc symbol value before showing search results,
2010-04-14,22c7eca61e51,Other,,,,,Y,menuconfig: add support to show hidden options which have prompts,Feature addition menu UI
2010-04-14,4280eae09901,Bug Fix,,,,,Y,kconfig: some small fixes,
2010-04-14,c6ccc30fd787,Bug Fix,,Y,,,,kconfig: fix zconfdump(),
2010-05-07,3fb9acb3297f,Bug Fix,,,,,Y,kconfig: fix to tag NEW symbols correctly,
2010-05-07,70ed074718a6,Other,,,,Y,Y,kconfig: print the range of integer/hex symbol in help text,
2010-05-07,b040b44c35c2,Other,,,,,Y,kconfig: print symbol type in help text,
